Title,Document Type,Name,Version
"Design and analysis of self-deployable, self-stiffening, and retractable arrays",Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Analysis of distortion phase shift in a highly loaded fan stage,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Highly compressible origami bellows for microgravity drilling-debris containment,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 3
Folding approaches for tensioned precision planar shell structures,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 4
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 5
Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 1
Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,Conference Paper,ACM/IEEE International Conference on Human-Robot Interaction,HumRob Ed 2
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Rethinking Our Assumptions About Language Model Evaluation,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
"Designer Thinking, A Unique Combination of Cognitive Modes",Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
"Active Topology Inference in Store, Code, and Forward Networks",Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Unification of signal models for soqpsk,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
Polarization diversity and equalization of frequency selective channels in telemetry environment for 16APSK,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
Physical-layer security for aeronautical telemetry,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
Optimizing coded 16-APSK for aeronautical mobile telemetry,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
On the design of a square-root nyquist pulse shaping filter for aeronautical telemetry,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
On if-to-baseband translation and resampling in sampled-data receivers,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
Femtosats: Elegant flight telemetry payloads for model rockets,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Eliminating wiring in aircraft instrumentation through energy harvesting,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
Doppler power spectra from vehicle-to-everything propagation experiments,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
DFT-based frequency offset estimators for 16-APSK,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
Cfo estimation by exploiting channel sparsity in aeronautical telemetry,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
Byu mars rover at the 2018 university rover challenge,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Analysis of inertial measurement data from a model rocket payload,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
A summary of data-aided equalizer experiments at edwards AFB,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Initial Comparisons of Friction Stir Spot Welding and Self Piercing Riveting of Ultra-Thin Steel Sheet,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
Changes in perceptions of ethical climate among undergraduate engineering students,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
Automatic model calibration for drilling automation,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
"The September 19, 2017 Mw 7.1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
User attitudes toward the inspection of encrypted traffic,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Improved bottomhole pressure control with wired drillpipe and physics-based models,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
"Creating open source models, test cases, and data for oilfield drilling challenges",Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
Foreword,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
"Theoretical estimates of maximum fields in superconducting resonant radio frequency cavities: Stability theory, disorder, and laminates",Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 5
Feasibility of induced pluripotent stem cell therapies for treatment of type 1 diabetes,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 1
Thermal diffusivity measurements with fluorescent scanning microscope,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 2
Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 3
Benefits of two turbine rotor diameters and hub heights in the same wind farm,Conference Paper,Advances in Intelligent Systems and Computing,AISC Ed 4
Modeling pressurized dense phase coal fluidization and transport,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 1
Kinetostatic and dynamic modeling of flexure-based compliant mechanisms: A survey,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 2
"Closure to ""discussion of 'a review of thickness-accommodation techniques in origami-inspired engineering'"" (Lang, R. J., Tolman, K. A., Crampton, E. B., Magleby, S. P., and Howell, L. L., 2018, ASME Appl. Mech. Rev., 70(1), p. 010805)",Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 3
A Review of Thickness-Accommodation Techniques in Origami-Inspired Engineering,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 4
Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10.1364/AO.57.00A122),Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 5
Understanding engineering and technology student perceptions: Barriers to study abroad participation,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 1
Transitioning a manufacturing systems engineering course to student-centered learning,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 2
Technology and design programs,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 3
Sustainable water filters in southern Peru,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 4
Student perceptions and attitudes towards a required vs. An optional course in leadership,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 5
Project-based learning curriculum for the junior year based on building a laser tag system,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 1
Outreach potential of displaying research artifacts in art museums,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 2
Lowman's model goes back to the movies,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 3
Lowman's model goes back to the movies,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 4
Investigating influences on first-year engineering students' views of ethics and social responsibility,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 5
Investigating engineering students' understandings of social and ethical responsibility: Coding framework and initial findings,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 1
Intensive mentoring and micro-electronics research for students in engineering (IMMERSE),Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 2
Increasing student construction interest by engaging elementary students in an inquiry-based 3D modelling after school program,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 3
Global humanitarian-based projects: A documentation strategy for strengthening project sustainability,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 4
Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 5
Designing a sustainable large-scale project-based learning (PBL) experience for juniors in electrical and computer engineering,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 1
Cross platform usability: Evaluating computing tasks performed on multiple platforms,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 2
Crafting the future of computing education in CC2020: A workshop,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 3
Assessment of a global engineering outreach course,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 4
A model workshop for helping new faculty engage students in the STEM Classroom,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 5
A longitudinal study of social and ethical responsibility among undergraduate engineering students: Comparing baseline and midpoint survey results,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 1
A cognitive approach to predicting academic success in computing,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 2
Adaptive control of large-scale soft robot manipulators with unknown payloads,Conference Paper,"ASEE Annual Conference and Exposition, Conference Proceedings",ECP Ed 3
Proving data race freedom in task parallel programs using a weaker partial order,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Sell it: Design project assessment by the public,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Integrating a multidisciplinary design methods mindset into classroom practice,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Design education and the new culture of design centric intellectual property,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Using instagram to increase student engagement with design history,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Information reduction and studio project frameworks,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Increasing the educational impact following a field study programme,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Application of “CODeve” methodology in transatlantic student design project,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
New uses of instagram in design history education,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
"Exploring the moral differences, between industrial design, engineering and entrepreneurship students",Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Exploring play interventions in design education,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
TrustBase: An architecture to repair and strengthen certificate-based authentication,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
The secure socket API: TLS as an operating system service,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Visual servoing with feed-forward for precision shipboard landing of an autonomous multirotor,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Visual Multiple Target Tracking from a Descending Aerial Platform,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Tracking multiple vehicles constrained to a road network from a uav with sparse visual measurements,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
State-Dependent LQR Control for a Tilt-Rotor UAV,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Relative moving target tracking and circumnavigation,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Improved Track Continuity in Multi Target Tracking by Fusing Multiple Input Sources,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Extending Motion Detection to Track Stopped Objects in Visual Multi-Target Tracking,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Cooperation induction in two player bertand markets with linear demand,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Abstractions and realizations of dynamic networks,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
A Class of Logistic Functions for Approximating State-Inclusive Koopman Operators,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Towards a universal social impact metric for engineered products that alleviate poverty,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Three approaches for managing stiffness in origami-inspired mechanisms,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Thick folding through regionally-sandwiched compliant sheets,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Split-vertex technique for thickness-accommodation in origami-based mechanisms,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Simulation of a micro-electro-mechanical system for generating electrical power from pressurized gas,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Rigidly foldable thick origami using designed-offset linkages,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Retractable anti-buckling support systems for flexible medical devices,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Regular 2D and 3D linkage-based origami tessellations,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Realizing origami mechanisms from metal sheets,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Patterned carbon nanotube growth on stainless steel,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Optimization of origami-based tubes for lightweight deployable structures,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Machine learning for evaluating the social impact of engineered products: A framework,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Kirigami-based deployable transcrease hard stop models usable in origami patterns,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Kinematics and discretization of curved-fold mechanisms,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Factors leading to sustainable social impact on the affected communities of engineering service learning projects,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Fabrication and testing of a MEMS system for injection of DNA into plant cells,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Elastic energy absorption of origami-based corrugations,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Design and modeling of a prosthetic venous valve,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Deployable euler spiral connectors (DESCs),Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Cylindrical developable mechanisms for minimally invasive surgical instruments,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Conceptualizing stable states in origami-based devices using an energy visualization approach,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Characteristics of self-deployment in origami-based systems,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Benefits of a short-term engineering study abroad: A survey of students over the past 15 years,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Automating the design of thick-origami mechanisms,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
"An assessment of village drill sustainability, with recommendations",Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
A simple starting point for designing for and/or assessing the social impact of products,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
A framework for energy-based kinetostatic modeling of compliant mechanisms,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 1
Rapid visualization of compressor blade finite element models using surrogate modeling,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 2
Radial variation in distortion transfer and generation through a highly loaded fan stage,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 3
Radial variation in distortion transfer and generation in a highly loaded fan stage from near-stall to choke,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 4
Predicting efficiency of a turbine driven by pulsing flow,Conference Paper,Conference on Formal Methods in Computer-Aided Design,FMCAD Ed 5
Semi-empirical model for fire spread in chamise and big sagebrush shrubs with spatially-defined fuel elements and flames,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
Modeling soot in coal systems,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
Investigation of merging flames in horizontal and vertical geometries,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
Ash deposition during advanced oxy-coal combustion using minimum recycled flue gas,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
Analysis of pyrolysis products from live shrub fuels,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
A comprehensive model of single particle pulverized coal combustion extended to oxy-coal conditions,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
A comprehensive model for predicting elemental composition of coal pyrolysis products,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
Simulation and exploration of high-density unmanned aerial vehicle systems,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
One-dimensional turbulence modelling of a lifted methane/air jet flame in a vitiated coflow,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
Systems analysis of EV adoption and criteria pollutant accumulation during inversion events,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
Dynamic grouping of cooperating vehicles using a receding horizon controller for ground target search and track missions,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
Applying a passive network reconstruction technique to Twitter data in order to identify trend setters,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
MMI waveguide based multispectral detection of nucleic acids for analysis of drug-resistant bacteria,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
Design and characterization of integrated 2D ABEL trap,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
Using tripartite graphs to make long tail recommendations,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
CrsRecs: A personalized course recommendation system for college students,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
Pyrolysis of live vegetation at slow heating rates,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
Modeling soot formation from solid complex fuels,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
Modeling a pressurized coal feed system,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
Investigation of merging flames in Horizontal and vertical Geometries,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
Impact of particle properties on radiative heat flux in an oxy-coal reactor,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
A fast-running simulation tool for axisymmetric oxy-coal combustors,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
On the well-posedness of LTI networks,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
Necessary and sufficient conditions for identifiability of interconnected subsystems,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
Local control and estimation performance in dynamical networks: Structural and graph-theoretic results,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
Counter UAS using a formation controlled dragnet,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
Spatiotemporal correlation analysis of jet noise from a round-nozzle supersonic aircraft,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
Inclusion of broadband shock-associated noise in spectral decomposition of noise from highperformance military aircraft,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
Dependence of high-performance military aircraft noise on frequency and engine power,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
Comparison of noise from high-performance military aircraft for ground run-up and flyover operations,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 4
Universal airfoil parametrization using B-splines,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 5
Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 1
Evaluation and optimization of dynamic cone penetration test (DPT) for assessment of liquefaction in gravelly soils,Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 2
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Conference Paper,IEEE Emerging IT Conference ,EmIT Ed 3
